Epoch	Iteration	Training Time	Validation Time	Training MNLL	Training Count MSE	Validation MNLL	Validation Profile Pearson	Validation Count Pearson	Validation Count MSE	Saved?
0	0	1.1797523498535156	1.1250154972076416	0.0009835418313741684	0.017249248921871185	0.005709556862711906	0.0010063961	-0.21282558	59.897491455078125	True
0	200	10.200852155685425	0.696645975112915	0.0015290819574147463	2.3185930331237614e-05	0.000784322211984545	0.034572907	-0.10091461	2.0558436517603695e-05	True
1	400	5.515148878097534	0.6861979961395264	0.0008883655536919832	2.006263821385801e-05	0.000742606061976403	0.071665764	-0.100608826	1.8975821149069816e-05	True
2	600	4.515347003936768	0.6727211475372314	0.0011396146146580577	1.3751859114563558e-05	0.0006656420882791281	0.11326225	-0.0617828	1.3210581528255716e-05	True
3	800	3.4106860160827637	0.742609977722168	0.0011002968531101942	1.407145282428246e-05	0.0006500236922875047	0.12244557	-0.0055115335	1.3827139810018707e-05	True
4	1000	2.2975165843963623	0.7367680072784424	0.0007977285422384739	1.288581461267313e-05	0.0006447192863561213	0.12620592	-0.010660382	1.2433786650944967e-05	True
5	1200	1.2429320812225342	0.7339398860931396	0.0009120499598793685	9.466861229157075e-06	0.0006438868585973978	0.12789768	-0.024243195	9.867168046184815e-06	True
6	1400	0.07974600791931152	0.6831214427947998	0.0010410989634692669	9.45371084526414e-06	0.0006422274163924158	0.12882301	-0.00605242	1.0005320291384123e-05	True
6	1600	7.1279075145721436	0.6967265605926514	0.0010589435696601868	8.003096809261478e-06	0.0006401361897587776	0.12992248	-0.04504929	7.169697710196488e-06	True
7	1800	5.649574041366577	0.6723148822784424	0.001434140489436686	5.486686859512702e-06	0.0006392808863893151	0.1318848	-0.035807952	6.049155672371853e-06	True
8	2000	6.774032115936279	0.7246847152709961	0.0009986164513975382	6.210259471117752e-06	0.0006373915821313858	0.13352598	-0.038068935	5.149261141923489e-06	True
9	2200	3.4313912391662598	0.6846163272857666	0.0009554437128826976	4.270306362741394e-06	0.0006359063554555178	0.13420573	-0.032411143	4.687252840085421e-06	True
10	2400	2.2682313919067383	0.682823657989502	0.0009827639441937208	4.009100848634262e-06	0.0006328306626528502	0.13725103	-0.022759207	4.331681338953786e-06	True
11	2600	1.2509677410125732	0.67801833152771	0.0012760264798998833	5.919664090470178e-06	0.000630984315648675	0.13938774	-0.035871923	3.676658252516063e-06	True
12	2800	0.1542675495147705	2.962231159210205	0.0014484311686828732	4.489150160225108e-05	0.0007153780898079276	0.12094066	-0.10084057	1.290149157284759e-05	False
12	3000	9.833824157714844	0.7257733345031738	0.0010852455161511898	4.930900558974827e-06	0.0006299844826571643	0.1401453	-0.058515392	4.128781256440561e-06	True
13	3200	5.517305850982666	0.6692843437194824	0.0009291231399402022	4.398062628752086e-06	0.0006289290613494813	0.14141887	0.010355039	4.439825715962797e-06	True
14	3400	4.457402229309082	0.6884660720825195	0.0012035006657242775	3.4776132906699786e-06	0.0006272512255236506	0.14313288	0.010640804	3.37351798407326e-06	True
15	3600	3.420944929122925	0.7455406188964844	0.0010474040172994137	5.677114131685812e-06	0.0006263537216000259	0.1436349	-0.02874613	3.931024366465863e-06	True
16	3800	2.5523016452789307	0.748370885848999	0.0008045071153901517	4.280012035451364e-06	0.0006262935930863023	0.14434223	-0.005075284	4.596892722474877e-06	False
17	4000	1.271531343460083	0.6829774379730225	0.00106641068123281	4.530054866336286e-06	0.0006239220965653658	0.14600654	0.027591852	4.715382601716556e-06	True
18	4200	0.20785999298095703	0.6851983070373535	0.0011723167262971401	5.780394531029742e-06	0.000623550615273416	0.14737877	-0.042520452	4.028593139082659e-06	True
18	4400	7.116899490356445	0.6850070953369141	0.000984510057605803	1.0676034435164183e-05	0.0006250466103665531	0.14781263	-0.084310055	5.604362740996294e-06	False
19	4600	8.211147785186768	0.6943435668945312	0.0008411547169089317	1.0130363079952076e-05	0.0006244446849450469	0.14922322	-0.031728372	5.988074917695485e-06	False
20	4800	4.85052227973938	0.6694493293762207	0.0010649526957422495	3.4813647289411165e-06	0.0006207156111486256	0.1501462	-0.06692569	3.6321607694844715e-06	True
21	5000	3.454108476638794	0.6890406608581543	0.0011845475528389215	4.12933468396659e-06	0.0006194976158440113	0.15058176	0.0047281	4.014309524791315e-06	True
