Epoch	Iteration	Training Time	Validation Time	Training MNLL	Training Count MSE	Validation MNLL	Validation Profile Pearson	Validation Count Pearson	Validation Count MSE	Saved?
0	0	1.1652982234954834	0.9926760196685791	0.0015842687571421266	0.19431370496749878	0.0018975847633555532	0.00037766964	-0.034782592	24.021923065185547	True
1	200	1.4738943576812744	0.5232815742492676	0.0014114069053903222	1.2682476153713651e-05	0.00037550527486018836	0.03845834	0.11708533	1.4184755855239928e-05	True
2	400	2.9023876190185547	0.5339260101318359	0.0013369487132877111	9.551815310260281e-06	0.0003551683039404452	0.05592271	-0.080356255	1.0644948815752286e-05	True
3	600	4.36117696762085	0.5386464595794678	0.0008535393280908465	1.1679238014039584e-05	0.0003367762255948037	0.077851556	-0.025367148	1.1636911949608475e-05	True
5	800	1.481536626815796	2.652508497238159	0.001119898515753448	1.2844271623180248e-05	0.0003219283535145223	0.0996146	0.0065899887	9.376082743983716e-06	True
6	1000	3.7558329105377197	0.6416428089141846	0.0010861208429560065	8.585760042478796e-06	0.000315651239361614	0.10892405	0.0012234191	9.970566679839976e-06	True
7	1200	5.2210493087768555	0.6305146217346191	0.0011469295714050531	6.5634853854135145e-06	0.0003126498486381024	0.11327993	-0.0036164653	1.080677884601755e-05	True
9	1400	0.9977002143859863	0.665045976638794	0.0008388885180465877	4.9881896302395035e-06	0.00031134590972214937	0.11487762	-0.006324459	6.046195267117582e-06	True
10	1600	5.175212621688843	0.7228777408599854	0.0009659774950705469	4.802575858775526e-06	0.00030995800625532866	0.11606226	0.042393237	4.555376108328346e-06	True
11	1800	4.849077939987183	0.6539740562438965	0.001381372450850904	5.177011189516634e-06	0.000309071532683447	0.11839811	0.028172772	4.526853444986045e-06	True
13	2000	0.44950437545776367	0.6207566261291504	0.0010322695598006248	6.440590368583798e-06	0.0003087057266384363	0.120680355	-0.018517615	3.895503141393419e-06	True
14	2200	2.484764337539673	0.6303064823150635	0.0011904183775186539	3.807204620898119e-06	0.00030762108508497477	0.1219201	0.016040685	3.897819169651484e-06	True
15	2400	4.24273943901062	0.6736931800842285	0.0012129860697314143	3.2214454677159665e-06	0.00030867839814163744	0.123339556	-0.027235014	2.9707025532843545e-06	False
16	2600	6.366089820861816	0.6352481842041016	0.0007529709255322814	2.896952310038614e-06	0.0003057385911233723	0.12393071	0.06185559	3.885366368194809e-06	True
18	2800	2.0437710285186768	0.6899783611297607	0.0012708909343928099	2.7901603516511386e-06	0.00030607939697802067	0.125492	-0.0018355441	2.4966036562545924e-06	False
19	3000	5.786662578582764	0.6412162780761719	0.001140545355156064	3.0946957849664614e-06	0.0003048875951208174	0.12626658	0.06119722	2.338500507903518e-06	True
