Epoch	Iteration	Training Time	Validation Time	Training MNLL	Training Count MSE	Validation MNLL	Validation Profile Pearson	Validation Count Pearson	Validation Count MSE	Saved?
0	0	1.2304954528808594	2.941096067428589	0.0014077117666602135	0.13856235146522522	0.000794608669821173	0.0015506309	0.048078973	24.887741088867188	True
0	200	9.291703939437866	2.4946913719177246	0.001118639949709177	1.8565378923085518e-05	0.00026509264716878533	0.0714426	0.007072752	1.4070007637201343e-05	True
0	400	9.306865692138672	2.8214328289031982	0.0010112682357430458	1.0842976735148113e-05	0.0002450212778057903	0.10440883	0.030272903	1.2144691936555319e-05	True
0	600	12.541496515274048	3.051893949508667	0.0008991382783278823	9.20587990549393e-06	0.00023602039436809719	0.10930096	0.028241018	9.746203431859612e-06	True
1	800	2.897435426712036	2.837528944015503	0.0007693198276683688	9.290884918300435e-06	0.00023691296519245952	0.11107588	0.033712722	9.78110074356664e-06	False
1	1000	10.211556434631348	2.855459213256836	0.0008882402908056974	7.2345519583905116e-06	0.00023879251966718584	0.112210594	0.029554497	7.438743978127604e-06	False
1	1200	12.545864820480347	3.1966629028320312	0.0006578135071322322	6.108325578679796e-06	0.00023705897910986096	0.112874985	0.01420762	6.2289927882375196e-06	False
1	1400	11.18339991569519	2.821418046951294	0.0006817904068157077	6.092733201512601e-06	0.00023612059885635972	0.11400762	0.018329376	6.2943317971075885e-06	True
2	1600	5.127821445465088	3.2955658435821533	0.0009368241881020367	5.276717274682596e-06	0.00023548316676169634	0.11446843	0.017246611	5.188396244193427e-06	True
2	1800	13.130778074264526	3.478874921798706	0.0007998044602572918	5.860776582267135e-06	0.00023364850494544953	0.11586731	0.032305617	4.978746801498346e-06	True
2	2000	10.946353912353516	2.9413340091705322	0.0010084223467856646	5.535953278013039e-06	0.00023556470114272088	0.116743974	0.01051724	5.156829047336942e-06	False
3	2200	0.559873104095459	2.8337676525115967	0.0007034970913082361	4.603067736752564e-06	0.00023292023979593068	0.11704388	0.026136216	4.287599949748255e-06	True
3	2400	12.414220809936523	2.575106382369995	0.0007466028910130262	4.927660484099761e-06	0.00023555864754598588	0.11809222	1.735994e-05	4.227973477100022e-06	False
3	2600	8.982905864715576	2.496081829071045	0.0008104365551844239	4.526734301180113e-06	0.00023885449627414346	0.11865829	0.064827144	3.817351171164773e-06	False
3	2800	8.57503890991211	2.457596778869629	0.0008333456935361028	9.083838449441828e-06	0.0002313073055120185	0.12044485	0.042538315	7.75753414927749e-06	True
4	3000	3.5236589908599854	5.573533773422241	0.0009375652298331261	4.174055447947467e-06	0.00023259299632627517	0.12117534	0.062317125	3.8331318137352355e-06	False
4	3200	13.456393480300903	2.84748911857605	0.0010569184087216854	4.053992597619072e-06	0.00023195863468572497	0.122116946	0.02184695	3.6141091186436825e-06	False
4	3400	10.064666032791138	3.125314950942993	0.0008153255330398679	7.456489129253896e-06	0.00023249119112733752	0.122804105	0.08332215	3.370849526618258e-06	False
4	3600	10.924468517303467	2.9313905239105225	0.0007788202492520213	2.9124012144166045e-06	0.00023202224110718817	0.124161616	0.04469406	3.5910902624891605e-06	False
5	3800	6.089417934417725	2.9011638164520264	0.0009322057012468576	4.2645046960387845e-06	0.0002307239337824285	0.12464403	-0.018329186	3.3157077723444672e-06	True
5	4000	10.653181552886963	3.263897657394409	0.0008778546471148729	3.211668627045583e-06	0.00023166190658230335	0.12524265	0.0060352655	2.7367450456949882e-06	False
5	4200	11.038362264633179	2.9659616947174072	0.0008390791481360793	4.033431650896091e-06	0.00022981797519605607	0.12589647	-0.003111516	2.8300041776674334e-06	True
6	4400	1.2429618835449219	3.563385248184204	0.0007880749762989581	3.7935460568405688e-06	0.00022999558132141829	0.12640214	-0.08154628	3.2334705792891327e-06	False
6	4600	12.701889991760254	3.7090022563934326	0.0009355221409350634	2.8043427846569102e-06	0.00023296152357943356	0.12722497	0.0057638744	2.4408000172115862e-06	False
6	4800	15.471698522567749	3.8671460151672363	0.0007908404804766178	2.6532461561146192e-06	0.00023101399710867554	0.1267741	0.020504072	3.1226538794726366e-06	False
6	5000	12.946373701095581	3.437419891357422	0.0006758756935596466	2.7707737899618223e-06	0.00022805595654062927	0.1279701	0.022119574	2.7127387056680163e-06	True
7	5200	3.244509220123291	2.9363179206848145	0.0008550075581297278	3.1441172723134514e-06	0.00023023663379717618	0.12853013	0.03809373	2.468101683916757e-06	False
7	5400	10.8472740650177	2.565156936645508	0.0007073597516864538	2.432766905258177e-06	0.00023095555661711842	0.12842718	-0.033420783	2.477225280017592e-06	False
7	5600	9.891149282455444	3.5967414379119873	0.0007761321030557156	1.903133352243458e-06	0.00022831815294921398	0.1279558	-0.01798698	4.421146513777785e-06	False
7	5800	10.553105592727661	2.3990278244018555	0.0008324229856953025	2.7183791644347366e-06	0.00023222783056553453	0.1297054	-0.011998749	2.3892343961051665e-06	False
8	6000	7.841166973114014	2.5818567276000977	0.000681008561514318	2.091701389872469e-06	0.00022797034762334079	0.12899262	0.024122445	2.207869556514197e-06	True
8	6200	8.783021688461304	2.396631956100464	0.0009118891321122646	3.7109898585185874e-06	0.0002281142951687798	0.1303288	0.03538536	2.843266884156037e-06	False
8	6400	8.474088668823242	2.4564082622528076	0.0009128769161179662	2.4218950329668587e-06	0.00023166168830357492	0.1307314	-0.00043667416	2.280257604070357e-06	False
9	6600	1.1974050998687744	2.448153257369995	0.0009222109219990671	2.9018935947533464e-06	0.0002270428667543456	0.13095088	-0.042301565	2.465198122081347e-06	True
9	6800	11.320774555206299	2.600553274154663	0.0007457803003489971	2.0494317141128704e-06	0.00022964278468862176	0.13032526	0.10715045	2.3691518435953185e-06	False
9	7000	8.654476165771484	2.454876184463501	0.0005709993420168757	4.508779056777712e-06	0.00022826741042081267	0.12906978	-0.059637252	4.9451082304585725e-06	False
9	7200	8.479948282241821	2.4480531215667725	0.0006374351214617491	4.084132342541125e-06	0.0002272503188578412	0.1313045	0.03009434	2.46391209657304e-06	False
10	7400	3.326054334640503	2.5368387699127197	0.0008713761926628649	1.7627972965783556e-06	0.0002278680622112006	0.13140768	0.07179591	2.245788664367865e-06	False
10	7600	11.220242977142334	2.459336519241333	0.0008401202503591776	2.3012057681626175e-06	0.00022771439398638904	0.13193558	-0.057401106	2.0052648324053735e-06	False
10	7800	8.511139154434204	2.4119932651519775	0.0007274402305483818	2.061753093585139e-06	0.00022882642224431038	0.13259766	-0.015020453	1.9740841707971413e-06	False
10	8000	8.686138153076172	2.7135531902313232	0.0005318865296430886	1.7141104535767226e-06	0.00022584905673284084	0.13200015	0.05487986	1.8066958773488295e-06	True
11	8200	5.6522979736328125	5.04263710975647	0.0009722402319312096	1.7743255966706784e-06	0.000225253461394459	0.13292268	0.023156056	1.6830381355248392e-06	True
11	8400	11.31256365776062	2.3972699642181396	0.0009426319156773388	2.8256386030989233e-06	0.0002260150940855965	0.13240467	0.08529345	2.1021132852183655e-06	False
11	8600	8.412068367004395	2.533651828765869	0.0007475900347344577	2.97861060971627e-06	0.00022525688109453768	0.13241819	-0.112014525	2.1686410036636516e-06	False
12	8800	1.6156079769134521	2.6317265033721924	0.001043469412252307	2.0700774712167913e-06	0.00022944998636376113	0.13379192	0.02218854	1.5862431155255763e-06	False
12	9000	11.58062219619751	3.3575196266174316	0.0008005783893167973	1.401654003529984e-06	0.00022403009643312544	0.13501285	0.026011491	1.553304400658817e-06	True
12	9200	9.42259168624878	2.449958562850952	0.0008607142372056842	1.4048105185793247e-06	0.00022503100626636297	0.13563065	0.040400486	1.5447865280293627e-06	False
12	9400	8.714361190795898	2.5015408992767334	0.0007517245248891413	1.739279241519398e-06	0.00022407621145248413	0.13580064	-0.055409335	1.6358696939278161e-06	False
13	9600	3.9500081539154053	2.70819091796875	0.0007201007683761418	1.4741242466698168e-06	0.00022377134882844985	0.13591737	0.05303611	1.6206437294385978e-06	True
13	9800	11.76658821105957	2.8226735591888428	0.0009436144027858973	1.407270474373945e-06	0.000224705581786111	0.13660826	0.030234572	1.2238992894708645e-06	False
13	10000	9.470046997070312	3.3094687461853027	0.001077978522516787	1.4681143056805013e-06	0.00022455098223872483	0.13536449	0.14032707	1.6089760492832283e-06	False
